Index,Date,Time,Counter,FbLoad,Lvdt1,Lvdt2,Force(kN),Potm,LVDT1,LVDT2,Total Strain (-),Strain Alum,Strain Machine,Chain,Stress [MPa],Deviatoric Stress [Mpa],Strain Ax. [%],Strain Ax [-],Strain Al. [%],Strain Al. [-],Strain Machine [%],Strain Machine [-],Strain Rad. [%],Strain Vol. [%],Gemidd,IFlow,Ipress [Mpa],IVol,FlowA,PressA,VolA,FlowB,PressB,VolB
52,44958.41975,51.536413,58674383,3.195685,0.085611,0.079678,3.367027,1.533382,-0.914299,-0.920177,0.000161707,6.80481E-05,9.3659E-05,19.912166,4.716928,1.716928,0.210651,0.00210651,0.002452754,0.000024528,0.208198246,0.002081982,0,0.210651,-0.917259,0.10648,3,5.2355,0,3,83.7154,0,-1.6,0
53,44958.41976,52.536413,58674384,3.326794,0.08752,0.081282,3.326161,1.534368,-0.913556,-0.920111,0.000167486,6.72222E-05,0.000100263,19.912166,4.741089,1.741089,0.211639,0.00211639,0.00248727,0.000024873,0.20915173,0.002091517,0,0.211639,-0.91669,0.05919,3,5.2352,0,3,83.7154,0,-1.6,0
54,44958.41977,53.536413,58674385,3.60487,0.089643,0.083462,3.824578,1.539298,-0.909,-0.914721,0.000238529,7.72953E-05,0.000161233,19.912166,5.328181,2.328181,0.217374,0.00217374,0.003325973,0.00003326,0.214048027,0.00214048,0,0.217374,-0.91243,0.02652,3,5.2348,0,3,83.7154,0,-1.6,0
55,44958.41978,54.536413,58674386,3.545395,0.091419,0.084933,3.639031,1.538312,-0.90971,-0.915707,0.000226414,7.35454E-05,0.000152869,19.912166,5.073263,2.073263,0.217124,0.00217124,0.002961804,0.000029618,0.214162196,0.002141622,0,0.217124,-0.912864,0.06127,3,5.2342,0,3,83.7154,0,-1.6,0
56,44958.41979,55.536413,58674387,4.30686,0.09942,0.093377,4.38261,1.547187,-0.900752,-0.906766,0.000354264,8.85732E-05,0.000265691,19.912166,6.217054,3.217054,0.230091,0.00230091,0.004595791,0.000045958,0.225495209,0.002254952,0,0.230091,-0.903774,0.0704,3,5.2336,0,3,83.7154,0,-1.6,0
57,44958.4198,56.536413,58674388,3.687344,0.095676,0.08925,3.725288,1.54127,-0.90562,-0.911763,0.0002838,7.52886E-05,0.000208511,19.912166,5.258434,2.258434,0.223026,0.00223026,0.003226334,0.000032263,0.219799666,0.002197997,0,0.223026,-0.90878,0.08079,3,5.2332,0,3,83.7154,0,-1.6,0
58,44958.41982,57.536413,58674389,4.017625,0.09793,0.091671,4.174039,1.544229,-0.902176,-0.908147,0.000334229,8.4358E-05,0.000249871,19.912166,5.86931,2.86931,0.227602,0.00227602,0.004099014,0.00004099,0.223502986,0.00223503,0,0.227602,-0.905397,0.07483,3,5.2323,0,3,83.7154,0,-1.6,0
59,44958.41983,58.536413,58674390,3.980585,0.098624,0.092203,3.967299,1.545215,-0.902994,-0.909429,0.000319229,8.01797E-05,0.000239049,19.912166,5.661763,2.661763,0.227173,0.00227173,0.003802519,0.000038025,0.223370481,0.002233705,0,0.227173,-0.906137,0.06776,3,5.2315,0,3,83.7154,0,-1.6,0
60,44958.41984,59.536413,58674391,3.657746,0.095131,0.088806,3.737006,1.544229,-0.905777,-0.911664,0.000283386,7.55255E-05,0.00020786,19.912166,5.256131,2.256131,0.222771,0.00222771,0.003223044,0.00003223,0.219547956,0.00219548,0,0.222771,-0.908766,0.0529,3,5.2309,0,3,83.7154,0,-1.6,0
61,44958.41985,60.536413,58674392,4.131297,0.098782,0.092663,4.263551,1.544229,-0.901675,-0.907522,0.000342271,8.6167E-05,0.000256104,19.912166,6.000095,3.000095,0.228686,0.00228686,0.00428585,0.000042859,0.22440015,0.002244002,0,0.228686,-0.904594,4.89702,3,5.1934,0,3,83.7154,0,-1.6,0
62,44958.41986,61.536413,58674393,3.859694,0.097354,0.09104,3.834107,1.544229,-0.904502,-0.910908,0.000297893,7.74879E-05,0.000220405,19.912166,5.490237,2.490237,0.225054,0.00225054,0.003557481,0.000035575,0.221496519,0.002214965,0,0.225054,-0.907472,4.13829,3,5.1225,0,3,83.7154,0,-1.6,0
63,44958.41987,62.536413,58674394,3.965446,0.097,0.090811,4.219639,1.545215,-0.902038,-0.908015,0.000336157,8.52795E-05,0.000250878,19.912166,5.85475,2.85475,0.227314,0.00227314,0.004078214,0.000040782,0.223235786,0.002232358,0,0.227314,-0.905398,2.86581,3,5.0889,0,2.9,83.7154,0,-1.6,0
64,44958.41988,63.536413,58674395,4.274046,0.101242,0.094804,4.201965,1.547187,-0.900693,-0.907259,0.000351164,8.49223E-05,0.000266242,19.912166,6.015246,3.015246,0.230504,0.00230504,0.004307494,0.000043075,0.226196506,0.002261965,0,0.230504,-0.903671,1.71033,3,5.0527,0,3,83.7154,0,-1.6,0
65,44958.4199,64.536413,58674396,4.238532,0.100143,0.093925,4.439642,1.546201,-0.899449,-0.905616,0.000371786,8.97258E-05,0.00028206,19.912166,6.202998,3.202998,0.231269,0.00231269,0.004575711,0.000045757,0.226693289,0.002266933,0,0.231269,-0.902666,1.17595,3,5.0236,0,3,83.7154,0,-1.6,0
66,44958.41991,65.536413,58674397,4.694398,0.104719,0.098659,4.819513,1.552117,-0.895528,-0.901376,0.000430079,9.74031E-05,0.000332675,19.912166,6.794588,3.794588,0.237321,0.00237321,0.00542084,0.000054208,0.23190016,0.002319002,0,0.237321,-0.898579,1.32903,3,5.0042,0,3,83.7154,0,-1.6,0
67,44958.41992,66.536413,58674398,4.918092,0.107183,0.101325,5.037957,1.55409,-0.892905,-0.898582,0.000468771,0.000101818,0.000366954,19.912166,7.086464,4.086464,0.241112,0.00241112,0.005837806,0.000058378,0.235274194,0.002352742,0,0.241112,-0.89595,1.53244,3,4.9787,0,2.9,83.7154,0,-1.6,0
68,44958.41993,67.536413,58674399,5.159626,0.11037,0.104512,5.249992,1.556062,-0.890162,-0.896051,0.000506443,0.000106103,0.00040034,19.912166,7.414388,4.414388,0.245243,0.00245243,0.006306269,0.000063063,0.238936731,0.002389367,0,0.245243,-0.893101,1.58509,3,4.961,0,2.9,83.7154,0,-1.6,0
69,44958.41994,68.536413,58674400,4.979505,0.110618,0.104147,4.966431,1.556062,-0.890871,-0.897464,0.000491286,0.000100372,0.000390913,19.912166,7.08541,4.08541,0.244197,0.00244197,0.0058363,0.000058363,0.2383607,0.002383607,0,0.244197,-0.893995,0.37415,3,4.9582,0,3,83.7154,0,-1.6,0
70,44958.41995,69.536413,58674401,4.669971,0.107589,0.101093,4.796414,1.553104,-0.893102,-0.899108,0.000463607,9.69363E-05,0.000366671,19.912166,6.711739,3.711739,0.24072,0.0024072,0.005302484,0.000053025,0.235417516,0.002354175,0,0.24072,-0.896284,-0.14653,3,4.9612,0,3,83.7154,0,-1.6,0
71,44958.41997,70.536413,58674402,5.062612,0.111606,0.105186,5.018158,1.557048,-0.890038,-0.896708,0.000502636,0.000101418,0.000401218,19.912166,7.185062,4.185062,0.245611,0.00245611,0.00597866,0.000059787,0.23963234,0.002396323,0,0.245611,-0.893071,-0.12336,3,4.9632,0,3,83.7154,0,-1.6,0
72,44958.41998,71.536413,58674403,4.808801,0.108874,0.102559,4.994745,1.55409,-0.891199,-0.897168,0.000491057,0.000100945,0.000390113,19.912166,6.989413,3.989413,0.24317,0.0024317,0.005699161,0.000056992,0.237470839,0.002374708,0,0.24317,-0.89446,-0.03475,3,4.9634,0,2.9,83.7154,0,-1.6,0
73,44958.41999,72.536413,58674404,5.167886,0.111824,0.105605,5.180608,1.558034,-0.889095,-0.895689,0.00051665,0.000104701,0.000411949,19.912166,7.377782,4.377782,0.24659,0.0024659,0.006253974,0.00006254,0.240336026,0.00240336,0,0.24659,-0.89229,4.4748,3,4.8836,0,3,83.7154,0,-1.6,0
74,44958.42,73.536413,58674405,4.735146,0.108895,0.102191,4.769906,1.55409,-0.892339,-0.89891,0.000470471,9.64005E-05,0.000374071,19.912166,6.747213,3.747213,0.24168,0.0024168,0.005353161,0.000053532,0.236326839,0.002363268,0,0.24168,-0.895703,3.7039,3,4.8203,0,3,83.7154,0,-1.6,0
75,44958.42001,74.536413,58674406,5.000412,0.109889,0.103696,5.162032,1.555076,-0.890297,-0.896412,0.0005029,0.000104325,0.000398575,19.912166,7.240496,4.240496,0.244643,0.00244643,0.006057851,0.000060579,0.238585149,0.002385851,0,0.244643,-0.893514,2.58954,3,4.7902,0,3,83.7154,0,-1.6,0
